"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","This test will create a new user","SUCCESS","2020-05-20T12:26:12.397+01:00[Europe/London]","0.0","21.57"
"Student CURD test","This test will Verify an existing user of the application","SUCCESS","2020-05-20T12:26:34.155+01:00[Europe/London]","0.0","0.41"
"Student CURD test","This test will check ","SUCCESS","2020-05-20T12:26:34.567+01:00[Europe/London]","0.0","0.28"
"Student CURD test","This test will Delete a user","SUCCESS","2020-05-20T12:26:34.855+01:00[Europe/London]","0.0","0.22"
